id;basket_state;expected_delivery_time;delivery_address
1;VALIDATED;2020-04-22T16:56:29;Borders Ergonomic plum
2;NOTFINISHED;2020-04-22T19:58:06;Czech Koruna
3;NOTFINISHED;2020-04-22T04:41:32;paradigms firewall
4;VALIDATED;2020-04-22T11:48:57;Cayman Islands Dollar
5;PAID;2020-04-22T09:20:49;Som Streamlined
6;PAID;2020-04-22T19:09:02;functionalities Ergonomic Concrete Sausages Stand-alone
7;PAID;2020-04-22T00:16:20;calculating Representative
8;PAID;2020-04-21T20:20:29;uniform Georgia
9;PAID;2020-04-22T12:41:24;Incredible
10;VALIDATED;2020-04-22T03:16:13;Global calculate Health
